LoanAmount0,LoanPeriod0,Good,PredictedGood0
1120,5,0,-297
15000,28,1,433
834,2,1,459
5000,10,1,342
6179,12,1,382
500,4,1,592
6500,15,1,508
1672,6,1,434
500,2,1,648
5000,10,1,636
7000,14,1,437
1100,5,0,549
1500,5,1,371
4000,8,1,535
6000,14,1,375
2500,5,1,439
2500,7,1,143
6200,14,1,251
4300,11,1,44
1000,4,1,287
500,4,1,598
8950,18,1,251
3500,8,1,253
4500,11,0,-570
2500,5,1,322
3000,8,1,467
4700,9,1,356
1000,4,0,444
12200,24,1,371
500,2,1,196
4700,11,1,401
9200,18,1,361
7000,17,0,-628
1000,4,1,319
24300,32,1,319
23100,32,1,177
78400,43,1,133
5000,10,1,391
5000,12,1,220
1000,4,1,358
1500,3,1,489
2000,4,1,439
1000,2,1,226
2500,5,1,364
700,4,1,340
2150,7,1,457
600,4,1,477
2500,7,1,28
1700,4,1,491
10000,21,1,384
2000,4,1,452
2000,6,0,349
2000,6,1,464
10000,22,0,363
4000,10,1,485
4000,8,1,277
43500,38,1,377
31600,32,1,263
10000,23,1,398
30400,36,1,342
18200,31,1,550
3000,8,0,-569
1800,6,0,-433
3000,6,1,216
1300,3,1,462
50800,39,1,332
600,4,1,630
6850,14,1,454
3000,8,0,117
43500,37,1,339
500,4,1,606
4700,11,1,372
1000,4,0,-361
4500,11,0,-456
3500,9,0,-436
9500,22,1,374
600,2,1,630
5000,12,1,493
700,4,1,420
1000,4,0,-187
10000,20,1,385
2000,6,1,495
4000,10,0,222
4000,10,1,325
5000,10,1,364
8270,18,0,195
5500,11,1,365
1500,5,1,395
5000,10,1,535
3000,8,0,-226
4500,11,1,416
1500,5,1,304
500,2,1,649
6000,14,1,581
5500,13,0,425
4500,9,1,485
2000,6,1,167
1667,6,0,-347
542,4,0,-335
1000,4,0,-259
5000,12,0,-510
5672,13,1,223
2500,7,1,461
10000,22,1,496
4000,10,0,-427
10000,19,1,454
8000,16,1,364
3000,8,0,310
760,4,0,-339
2500,7,0,-218
543,4,0,-310
8000,18,1,454
3500,7,1,381
1000,2,1,590
7000,17,0,399
815,2,1,645
2700,8,1,263
600,2,1,503
7351,16,1,101
4000,8,1,352
1661,6,1,366
6250,14,0,-446
4000,10,0,115
5000,10,1,337
1734,4,1,242
1000,4,0,-353
2500,7,1,28
2700,6,1,344
10000,21,1,433
10000,21,1,436
1200,5,0,-201
651,4,1,424
1995,4,1,265
650,4,0,-182
4088,10,1,315
543,4,0,-341
1500,5,0,513
600,4,0,-216
500,4,1,596
1000,4,1,542
6158,14,0,-367
2000,6,0,-274
1084,3,1,327
6000,14,1,405
540,4,1,235
4000,10,1,254
2000,6,1,493
4500,9,1,462
4200,9,1,485
890,4,0,-278
4000,10,1,404
1000,4,1,405
2786,6,1,369
10000,19,1,365
869,4,0,-278
890,4,0,-278
1000,4,1,325
8500,17,1,406
500,4,1,573
5000,12,1,531
652,4,0,-254
2500,5,1,474
1000,4,1,637
5000,12,1,364
6300,13,1,375
1500,3,1,415
7000,15,1,411
800,4,1,86
3350,7,1,638
6320,15,0,90
2893,8,1,319
3000,6,1,590
1000,2,1,174
5500,11,1,462
540,2,1,216
500,4,1,533
1900,6,0,556
1000,4,1,552
2300,7,0,518
1500,3,1,374
4000,10,0,500
5500,11,1,364
1000,2,1,712
500,4,1,642
7500,17,0,243
648,4,1,167
5000,12,1,443
15000,25,1,527
1301,3,1,77
6500,15,1,409
1000,4,1,533
3000,8,0,-307
13000,24,1,375
1888,4,1,474
5000,10,1,482
4658,11,0,395
5000,12,1,531
4400,12,1,408
5200,11,1,305
1000,4,0,594
930,2,1,624
3517,9,1,286
1626,6,0,-318
2000,6,1,541
1050,5,1,360
600,4,1,591
4350,10,1,567
7500,17,1,465
1410,3,1,340
7000,14,1,529
6458,15,0,391
1100,5,1,434
4000,10,1,428
1000,4,1,261
6000,14,1,167
7500,17,1,528
10000,21,1,478
2314,7,0,-366
10000,20,1,611
543,2,1,602
4000,8,1,342
71300,45,1,264
7200,16,1,391
1000,4,1,412
5000,10,1,339
13800,25,1,446
1000,4,1,319
8000,16,1,267
53700,37,1,333
5000,12,1,567
10000,21,1,467
12200,24,0,348
500,4,1,372
1000,4,0,316
700,2,1,481
5300,13,1,259
10650,20,1,287
10000,21,1,342
5000,10,1,271
19700,31,1,457
4700,11,0,238
5300,11,1,317
3600,9,1,381
2000,6,1,360
1000,4,0,-579
4100,10,0,64
1000,4,1,461
1500,3,1,431
500,4,0,111
1500,5,1,92
2500,5,1,513
4450,9,1,463
16200,29,1,380
3000,8,1,404
1000,2,1,410
24000,33,1,579
500,2,1,351
85500,50,1,229
50800,40,1,234
10000,21,1,453
10000,21,1,465
10000,21,1,433
2000,6,0,-596
5800,14,1,436
1000,2,1,277
3000,8,1,552
10000,21,1,385
2385,7,1,331
2500,5,1,308
7050,16,1,334
2000,6,0,-489
4500,11,0,289
3000,8,1,274
5000,12,0,-499
1500,5,0,216
1000,4,1,487
1000,4,1,612
7500,15,1,384
5000,12,1,543
2000,6,0,-524
1545,6,1,470
2000,6,1,25
2500,5,1,497
1000,4,1,465
2240,5,1,306
8000,18,0,357
1300,5,1,467
500,4,0,-424
3000,6,1,537
500,4,0,-411
6806,15,1,198
1336,5,1,499
4548,11,1,472
10000,19,1,222
8576,19,1,451
6000,12,1,470
3695,10,1,430
1900,6,1,483
2000,6,1,471
3000,8,1,413
543,2,1,397
9500,21,1,210
3930,10,1,452
1200,3,1,412
2000,6,1,505
4000,10,1,433
2771,8,0,286
652,2,1,298
