ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
111011,5500,13,1,299,5492.747659,13.86031993,350.00238187063485
111012,1000,2,1,287,987.50594803,3.0612000412,350.00000962342745
111014,5000,12,0,-566,4873.6526924,27.45295496,350.00005853566563
111015,1000,4,0,-424,961.48077231,17.086333517,350.0000000101277
111016,3400,9,1,235,3386.9521882,10.941285809,350.0022779502684
111018,8000,18,1,271,7987.6072496,19.332150163,350.00303162958835
111019,4000,10,0,165,3976.4766416,13.12184891,350.00275928630435
111020,500,4,1,59,496.37610613,8.9246579576,350.0000002969151
111021,122700,54,1,229,122248.40663,55.857096834,350.0094719465428
111022,3000,8,1,335,2998.3223862,8.2533087008,350.0054493376256
111025,780,4,0,-350,758.79511972,15.840963249,349.9999999799335
111026,3500,9,1,160,3477.1601298,12.206734412,350.00000007974563
111027,27250,31,1,294,27216.00117,31.934285088,350.041334367133
111028,5000,12,0,-412,4894.8939621,24.854968352,350.00001872969005
111030,4700,11,0,-431,4586.7395985,24.17315391,350.0000383840278
111037,1000,4,1,172,991.14165546,7.0095188526,350.0000151764158
111038,5000,12,1,265,4988.2751019,13.434009745,350.0033563223658
111041,2200,7,0,331,2198.5062714,7.3211023054,350.0055471935384
111044,55100,40,0,184,54858.039359,42.707585156,350.000663881744
111047,7000,17,0,128,6970.0923327,20.745467754,350.0010068906157
111049,40400,36,1,226,40278.542709,38.047794393,350.0083312684619
111050,8600,19,1,246,8583.0814511,20.753451904,350.0034748808075
111051,18200,31,0,-304,18021.506832,41.995743541,350.00942350884543
111054,5000,12,0,-423,4893.376683,25.040538751,350.00001840121104
111055,1000,4,0,173,991.19142156,6.9926114464,350.0000152703583
111058,4000,10,1,-186,3931.8449789,19.044788846,350.00000796089375
111061,33800,34,0,-355,33255.272086,45.703788166,350.00488526431377
111064,500,4,0,-369,491.04611484,16.167797484,350.0000000650308
111066,6000,14,0,334,5997.6649706,14.269939463,350.0043218022911
111068,4600,9,1,262,4581.7667944,10.482020992,350.00243190892763
111069,4000,10,0,-397,3905.0161206,22.605331912,350.00006066417836
111070,4100,8,1,275,4084.3758342,9.2630786434,350.0037495632298
111073,500,4,0,180,497.88294765,6.8769479445,350.00000000587477
111075,9200,20,0,-238,9101.2219361,29.912090926,350.0000001301494
111078,24300,32,1,290,24272.710321,33.004888677,350.04404246579224
111080,1000,4,0,-408,962.2770354,16.815814994,349.9999999698367
111086,2500,7,0,-356,2428.3885695,18.921168956,349.9999999870432
111087,2500,7,0,-356,2428.3885695,18.921168956,349.9999999870432
111088,4677,11,1,281,4667.0903445,12.163938021,350.00423614127465
111089,1728,6,1,10,1705.5538703,11.746176838,350.0000172375628
111095,2500,7,1,328,2497.7681035,7.3715444507,350.00374667941537
111096,4000,10,1,342,3998.9815879,10.135152531,350.00922596373744
111098,2879,8,0,-426,2799.0825076,21.102643466,350.0000000026688
111102,3400,7,1,306,3391.7626131,7.7413925986,350.00177350252227
111103,543,2,1,245,536.83847706,3.7748810599,350.0000005609723
111104,7940,18,1,115,7903.685607,21.9628232,350.001035086668
111107,2600,8,1,302,2595.9662664,8.8108881591,350.00176138920585
111108,5000,12,1,246,4985.6544299,13.75453,350.0027373138885
111109,1000,4,1,326,998.80563808,4.4058109878,350.001960625769
111110,1500,5,0,-501,1439.0479006,19.380319882,350.00000760389275
111115,6126,13,1,247,6107.8448235,14.736017676,350.00456358781423
111116,7090,14,1,326,7085.1172179,14.404251259,350.00217586630083
111119,3500,9,1,290,3492.7871734,10.012686259,350.0019722508139
111124,2500,5,1,329,2495.8348041,5.3537660226,350.0019462333671
