ClientId,Good,PredictedGood0,OptimizedClientScoreWithRoundedValues,LoanAmount0,LoanPeriod0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,Deviation,dLAmount,dLPeriod,Reject2Accept,,,,threshold
114472,0,275,403.1592375,142500,58,142100,60,0.000125997,0.2807%,3.4483%,1,7105,,,
118097,1,328,389.5757961,24300,30,24200,31,0.000126353,0.4115%,3.3333%,1,1210,,,
115038,1,315,374.572738,16020,28,16000,29,0.000128954,0.1248%,3.5714%,1,800,,,
109722,1,254,382.1592375,131500,57,131100,59,0.000131442,0.3042%,3.5088%,1,6555,,,
110091,1,257,385.1592375,122700,57,122300,59,0.00013268,0.3260%,3.5088%,1,6115,,,
104516,0,272,400.1592375,131600,56,131200,58,0.000135866,0.3040%,3.5714%,1,6560,,,
113487,1,328,388.3238848,16450,28,16400,29,0.000135866,0.3040%,3.5714%,1,820,,,
106234,1,311,372.5757961,18200,30,18100,31,0.000138282,0.5495%,3.3333%,1,905,,,
113765,0,343,404.5757961,18200,30,18100,31,0.000138282,0.5495%,3.3333%,1,905,,,
101510,1,338,399.5757961,17400,30,17300,31,0.000140838,0.5747%,3.3333%,1,865,,,
112029,1,295,356.5757961,17400,30,17300,31,0.000140838,0.5747%,3.3333%,1,865,,,
103425,1,280,405.6554149,106900,54,106600,56,0.000144262,0.2806%,3.7037%,1,5330,,,
101261,1,348,409.5757961,18200,29,18100,30,0.000146077,0.5495%,3.4483%,1,905,,,
101781,1,323,384.5757961,18200,29,18100,30,0.000146077,0.5495%,3.4483%,1,905,,,
113000,0,229,359.6630601,122700,55,122200,57,0.000147176,0.4075%,3.6364%,1,6110,,,
111021,1,229,359.6630601,122700,54,122200,56,0.000152119,0.4075%,3.7037%,1,6110,,,
101364,1,338,399.5757961,18400,28,18300,29,0.000154134,0.5435%,3.5714%,1,915,,,
115304,1,349,410.5757961,18200,28,18100,29,0.000154722,0.5495%,3.5714%,1,905,,,
116010,1,298,359.5757961,18200,28,18100,29,0.000154722,0.5495%,3.5714%,1,905,,,
115213,1,257,382.6554149,106900,52,106600,54,0.000155017,0.2806%,3.8462%,1,5330,,,
110683,1,225,353.1592375,105200,53,104800,55,0.000155411,0.3802%,3.7736%,1,5240,,,
106911,1,322,383.5757961,17400,28,17300,29,0.000157278,0.5747%,3.5714%,1,865,,,
104734,1,283,406.1515923,99900,51,99700,53,0.000157394,0.2002%,3.9216%,1,4985,,,
114865,1,272,395.1515923,89800,51,89600,53,0.000158251,0.2227%,3.9216%,1,4480,,,
114882,0,319,379.3238848,14550,26,14500,27,0.000158557,0.3436%,3.8462%,1,725,,,
109207,1,249,377.1592375,116100,52,115700,54,0.000158612,0.3445%,3.8462%,1,5785,,,
113345,1,274,397.1515923,85500,51,85300,53,0.000158712,0.2339%,3.9216%,1,4265,,,
115120,1,329,390.5757961,15000,29,14900,30,0.000158906,0.6667%,3.4483%,1,745,,,
110847,1,245,378.1668828,139300,53,138700,55,0.000159097,0.4307%,3.7736%,1,6935,,,
116397,1,243,371.1592375,111100,52,110700,54,0.000159595,0.3600%,3.8462%,1,5535,,,
116602,1,238,366.1592375,109800,52,109400,54,0.000159873,0.3643%,3.8462%,1,5470,,,
109361,1,303,362.572738,14120,25,14100,26,0.000161806,0.1416%,4.0000%,1,705,,,
105330,1,349,410.5757961,16200,28,16100,29,0.000161845,0.6173%,3.5714%,1,805,,,
108892,1,336,397.5757961,15800,28,15700,29,0.000163603,0.6329%,3.5714%,1,785,,,
103396,1,295,355.5742671,14360,26,14300,27,0.000163641,0.4178%,3.8462%,1,715,,,
115302,1,222,352.6630601,114000,52,113500,54,0.000165242,0.4386%,3.8462%,1,5675,,,
101517,1,316,377.5757961,17800,27,17700,28,0.00016558,0.5618%,3.7037%,1,885,,,
101727,1,336,397.5757961,17400,27,17300,28,0.000166901,0.5747%,3.7037%,1,865,,,
115669,1,345,406.5757961,17400,27,17300,28,0.000166901,0.5747%,3.7037%,1,865,,,
103572,1,348,409.5757961,15000,28,14900,29,0.000167551,0.6667%,3.5714%,1,745,,,
114972,1,331,392.5757961,15000,28,14900,29,0.000167551,0.6667%,3.5714%,1,745,,,
101157,1,229,354.6554149,85500,50,85200,52,0.00017108,0.3509%,4.0000%,1,4260,,,
114895,1,278,401.1515923,88400,49,88200,51,0.000171204,0.2262%,4.0816%,1,4410,,,
115621,1,342,403.5757961,15000,27,14900,28,0.000177174,0.6667%,3.7037%,1,745,,,
117396,1,349,410.5757961,15000,27,14900,28,0.000177174,0.6667%,3.7037%,1,745,,,
110906,1,326,385.6979292,11325,24,11300,25,0.000177997,0.2208%,4.1667%,1,565,,,
104387,1,336,397.5757961,14800,27,14700,28,0.000178263,0.6757%,3.7037%,1,735,,,
115482,1,273,396.1515923,85500,48,85300,50,0.000178536,0.2339%,4.1667%,1,4265,,,
113849,1,283,406.1515923,87700,47,87500,49,0.000185758,0.2281%,4.2553%,1,4375,,,
105123,1,328,389.5757961,15000,26,14900,27,0.000187929,0.6667%,3.8462%,1,745,,,
108014,1,325,386.5757961,15000,26,14900,27,0.000187929,0.6667%,3.8462%,1,745,,,
111633,1,349,410.5757961,15000,26,14900,27,0.000187929,0.6667%,3.8462%,1,745,,,
114462,1,313,374.5757961,15000,26,14900,27,0.000187929,0.6667%,3.8462%,1,745,,,
110762,1,342,403.5757961,14800,26,14700,27,0.000189017,0.6757%,3.8462%,1,735,,,
100515,1,344,404.348923,12251,24,12200,25,0.000189208,0.4163%,4.1667%,1,610,,,
109717,1,334,395.5757961,14600,26,14500,27,0.000190151,0.6849%,3.8462%,1,725,,,
110330,1,275,400.6554149,91200,47,90900,49,0.000190816,0.3289%,4.2553%,1,4545,,,
110334,0,265,390.6554149,85500,47,85200,49,0.000192158,0.3509%,4.2553%,1,4260,,,
104962,1,325,386.5757961,13800,26,13700,27,0.000195188,0.7246%,3.8462%,1,685,,,
112653,1,331,392.5757961,13700,26,13600,27,0.00019588,0.7299%,3.8462%,1,680,,,
116391,1,341,402.5757961,15800,25,15700,26,0.000196052,0.6329%,4.0000%,1,785,,,
112680,0,265,388.1515923,71300,46,71100,48,0.000196117,0.2805%,4.3478%,1,3555,,,
100137,1,265,390.6554149,87700,46,87400,48,0.000199567,0.3421%,4.3478%,1,4370,,,
107004,1,334,395.5757961,15000,25,14900,26,0.0002,0.6667%,4.0000%,1,745,,,
115002,1,336,397.5757961,15000,25,14900,26,0.0002,0.6667%,4.0000%,1,745,,,
115985,1,283,406.1515923,85500,45,85300,47,0.000202455,0.2339%,4.4444%,1,4265,,,
116419,0,277,400.1515923,78400,45,78200,47,0.000203388,0.2551%,4.4444%,1,3910,,,
114499,0,266,389.1515923,75600,45,75400,47,0.00020383,0.2646%,4.4444%,1,3770,,,
105164,1,283,406.1515923,71500,45,71300,47,0.000204573,0.2797%,4.4444%,1,3565,,,
101121,1,264,387.1515923,71300,45,71100,47,0.000204612,0.2805%,4.4444%,1,3555,,,
116727,1,286,409.1515923,71300,45,71100,47,0.000204612,0.2805%,4.4444%,1,3555,,,
113018,1,338,399.5757961,13800,25,13700,26,0.000207259,0.7246%,4.0000%,1,685,,,
106744,1,272,396.4035036,73450,45,73200,47,0.000207957,0.3404%,4.4444%,1,3660,,,
114757,0,335,394.4225087,10414,22,10400,23,0.000208238,0.1344%,4.5455%,1,520,,,
116296,1,270,395.6554149,85500,45,85200,47,0.000208611,0.3509%,4.4444%,1,4260,,,
111666,0,240,365.6554149,82700,45,82400,47,0.000209374,0.3628%,4.4444%,1,4120,,,
106509,1,324,385.5757961,13500,25,13400,26,0.000209383,0.7407%,4.0000%,1,670,,,
107103,1,305,364.6979292,9725,22,9700,23,0.000212559,0.2571%,4.5455%,1,485,,,
101422,1,345,404.7730438,10328,22,10300,23,0.000213227,0.2711%,4.5455%,1,515,,,
107431,1,254,377.1515923,72700,44,72500,46,0.000213423,0.2751%,4.5455%,1,3625,,,
104681,1,298,359.5757961,15000,24,14900,25,0.000213611,0.6667%,4.1667%,1,745,,,
117536,1,341,402.5757961,15000,24,14900,25,0.000213611,0.6667%,4.1667%,1,745,,,
107414,1,266,389.1515923,71700,44,71500,46,0.000213614,0.2789%,4.5455%,1,3575,,,
